plot,block,idTreatment,plotSize,exposition,side,substrateType,seedmixType,surveyYear,vegetationCov,botanist,bioMass,id,conf.low,conf.high,graminoidCov,shannon,surveyYearF,botanistYear
L1_01,1,L_111,4,south,land,1,1,2018,80,Jakob_Huber,NA,L1_01_2018,1,1,0,0.222347178,2018,Jakob_Huber2018
L1_01,1,L_111,4,south,land,1,1,2019,70,Linda_Weggler,NA,L1_01_2019,2,2,11,2.251831182,2019,Linda_Weggler2019
L1_01,1,L_111,4,south,land,1,1,2020,70,Jakob_Huber,NA,L1_01_2020,3,3,33.5,1.960201812,2020,Jakob_Huber2020
L1_01,1,L_111,4,south,land,1,1,2021,70,Markus_Bauer,NA,L1_01_2021,4,4,37,2.640649187,2021,Markus_Bauer2021
L1_02,1,L_113,4,south,land,1,3,2018,65,Jakob_Huber,NA,L1_02_2018,5,5,0.5,0.322994064,2018,Jakob_Huber2018
L1_02,1,L_113,4,south,land,1,3,2019,50,Linda_Weggler,NA,L1_02_2019,6,6,1,1.565003381,2019,Linda_Weggler2019
L1_02,1,L_113,4,south,land,1,3,2020,60,Jakob_Huber,NA,L1_02_2020,7,7,25.5,1.845630129,2020,Jakob_Huber2020
L1_02,1,L_113,4,south,land,1,3,2021,80,Markus_Bauer,NA,L1_02_2021,8,8,26,2.182153397,2021,Markus_Bauer2021
L1_03,1,L_114,4,south,land,1,4,2018,70,Jakob_Huber,NA,L1_03_2018,9,9,0,0.421532456,2018,Jakob_Huber2018
L1_03,1,L_114,4,south,land,1,4,2019,60,Linda_Weggler,NA,L1_03_2019,10,10,0.5,1.085381876,2019,Linda_Weggler2019
L1_03,1,L_114,4,south,land,1,4,2020,80,Jakob_Huber,NA,L1_03_2020,11,11,1.5,0.713275587,2020,Jakob_Huber2020
L1_03,1,L_114,4,south,land,1,4,2021,50,Markus_Bauer,NA,L1_03_2021,12,12,22,2.112370053,2021,Markus_Bauer2021
L1_04,1,L_112,4,south,land,1,2,2018,80,Jakob_Huber,NA,L1_04_2018,13,13,1,0.184564805,2018,Jakob_Huber2018
L1_04,1,L_112,4,south,land,1,2,2019,60,Linda_Weggler,NA,L1_04_2019,14,14,3.5,1.431070735,2019,Linda_Weggler2019
L1_04,1,L_112,4,south,land,1,2,2020,60,Jakob_Huber,NA,L1_04_2020,15,15,41,1.3083145,2020,Jakob_Huber2020
L1_04,1,L_112,4,south,land,1,2,2021,50,Markus_Bauer,NA,L1_04_2021,16,16,20,2.311034068,2021,Markus_Bauer2021
L1_05,1,L_122,4,south,land,2,2,2018,30,Jakob_Huber,NA,L1_05_2018,17,17,0.5,0.467523322,2018,Jakob_Huber2018
L1_05,1,L_122,4,south,land,2,2,2019,60,Linda_Weggler,NA,L1_05_2019,18,18,0.5,1.904374045,2019,Linda_Weggler2019
L1_05,1,L_122,4,south,land,2,2,2020,70,Jakob_Huber,NA,L1_05_2020,19,19,30.5,1.789704845,2020,Jakob_Huber2020
