"","term","statistic","df","p.value"
"1","(Intercept)",3.68269668274734,1,0.0549798599811352
"2","treatment",0.00279661506179435,1,0.957825104067611
"3","month",80.1433439220939,4,1.62418826871249e-16
"4","treatment:month",98.6777123362483,4,1.88066033854814e-20
